RXN0-6981	EC-3.4.13.18	peptidase D	pepD
RXN-13677	EC-3.4.11.2	cysteinylglycinase / cytosolic leucyl aminopeptidase	LAP3
RXN-13675	EC-3.4.19.9	pteroyl-&gamma;-glutamyl hydrolase	Ggh
RXN-13675	EC-3.4.19.9	&gamma;-glutamyl hydrolase	GGH
RXN-13675	EC-3.4.19.9	&gamma;-glutamyl hydrolase	GGH
RXN-13675	EC-3.4.19.9	&gamma;-glutamyl transpeptidase	AT4G29210
RXN-11005	RXN-11005	unknown	unknown
RXN-11004	RXN-11004	unknown	unknown
RXN-11003	EC-1.14.13.30	cytochrome P450 4F2	CYP4F2
RXN-9087	EC-1.3.1.84	acrylyl-CoA reductase	yhdH
RXN-9087	EC-1.3.1.84	acrylyl-CoA reductase (NADPH)	acr
RXN-9087	EC-1.3.1.84	propionyl-CoA synthase	pcs
RXN-6383	EC-4.2.1.116	D-specific enoyl-CoA hydratase	FOX2
RXN-6383	EC-4.2.1.116	3-hydroxypropionyl-CoA dehydratase	Msed_2001
RXN-6383	EC-4.2.1.116	propionyl-CoA synthase	pcs
RXN-9086	EC-6.2.1.36	3-hydroxypropionyl-CoA synthetase (AMP-forming)	Msed_1456
RXN-9086	EC-6.2.1.36	propionyl-CoA synthase	pcs
CITRAMALYL-COA-LYASE-RXN	EC-4.1.3.25	L-malyl CoA lyase	mclA
CITRAMALYL-COA-LYASE-RXN	EC-4.1.3.25	citramalyl-CoA lyase	unknown
CITRAMALYL-COA-LYASE-RXN	EC-4.1.3.25	citramalyl-<i>S</i>-[acp] lyase	unknown
RXN-13230	EC-5.4.1.3	mesaconyl-C1-CoA-C4-CoA transferase	mct
RXN-8974	EC-1.1.1.298	predicted malonic semialdehyde reductase	rutE
RXN-8974	EC-1.1.1.298	3-hydroxy acid dehydrogenase	ydfG
RXN-8974	EC-1.1.1.298	NADP-dependent malonate semialdehyde reductase	Msed_1993
RXN-8974	EC-1.1.1.298	malonyl CoA reductase	mcr
RXN-8963	EC-1.2.1.75	malonyl-coenzyme A reductase||succinyl-CoA reductase	Msed_0709
RXN-8963	EC-1.2.1.75	malonyl-CoA reductase	mcr
RXN-8963	EC-1.2.1.75	malonyl CoA reductase	mcr
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	accD
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	accA
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	accC
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	accB
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase 2	ACC2
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase 1	unknown
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	Acetyl-CoA carboxylase, mitochondrial	HFA1
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase complex	accC
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase complex	accB
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase complex	accA
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase complex	accD
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl CoA carboxylase	jadJ
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	accD6	accD6
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl/propionyl-CoA carboxylase alpha chain	accA3
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acyl CoA carboxylase holoenzyme	Msed_1375
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acyl CoA carboxylase holoenzyme	Msed_0148
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acyl CoA carboxylase holoenzyme	Msed_0147
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acyl CoA carboxylase	accB
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acyl CoA carboxylase	accC
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acyl CoA carboxylase	pccB
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	AT5G16390
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	AT5G35360
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	AT2G38040
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2	acetyl-CoA carboxylase	ATCG00500
RXN-8965	EC-4.2.1.153	mesaconyl-C4-CoA hydratase	meh
RXN-8960	EC-4.2.1.148	&beta;-methylmalyl-CoA dehydratase	mch
RXN-8960	EC-4.2.1.148	mesaconyl-CoA hydratase	mch
RXN-8960	EC-4.2.1.148	mesaconyl-CoA hydratase	mch
RXN-8961	EC-4.1.3.24	&beta;-methylmalyl-CoA lyase	mcl
RXN-8961	EC-4.1.3.24	L-malyl CoA lyase	mclA
RXN-8961	EC-4.1.3.24	&beta;-methylmalyl-CoA lyase||malyl-CoA lyase	mcl1
NITROETHANE-OXIDASE-RXN	EC-1.7.3.1	nitroalkane oxidase	NAO
RXN-13878	EC-2.4.1	flavonol 3'-<i>O</i>-glucosyltransferase	unknown
RXN-13877	EC-2.1.1	unknown	unknown
RXN-13876	EC-2.4.1	flavonol 2'-<i>O</i>-glucosyltransferase	unknown
RXN-13874	EC-2.4.1	flavonol 3'-<i>O</i>-glucosyltransferase	unknown
RXN-13875	EC-2.4.1	flavonol 3'-<i>O</i>-glucosyltransferase	unknown
RXN-13855	EC-2.1.1	methylquercetagetin-<i>O</i>-methyltransferase	unknown
RXN-13851	EC-2.1.1	methyl-quercetin/quercetagetin glucoside 2'/3'-<i>O</i>methyltransferase	unknown
RXN-13850	EC-2.4.1	flavonol 3'-<i>O</i>-glucosyltransferase	unknown
RXN-13849	EC-2.1.1	methyl-quercetin/quercetagetin 3'/5'-<i>O</i>-methyltransferase	fomt1
RXN-13848	EC-1.14.13	unknown	unknown
RXN-13847	EC-2.1.1	methyl-quercetin/quercetagetin 3'/5'-<i>O</i>-methyltransferase	fomt1
RXN-13846	EC-2.1.1	methyl-quercetin/quercetagetin glucoside 2'/3'-<i>O</i>methyltransferase	unknown
RXN-13845	EC-2.4.1	flavonol 2'-<i>O</i>-glucosyltransferase	unknown
RXN-13844	EC-1.14.11	flavonol 6-hydroxylase	F6H
RXN-13843	EC-2.1.1	methylquercetagetin 6-<i>O</i>-methyltransferase	unknown
RXN-13842	EC-2.1.1	3,7dimethylquercetin/quercetagetin 4'-<i>O</i>-methyltransferase	unknown
2.1.1.84-RXN	EC-2.1.1.84	methylquercetagetin 6-<i>O</i>-methyltransferase	unknown
RXN-13841	EC-2.1.1	methyl-quercetin/quercetagetin 3'/5'-<i>O</i>-methyltransferase	fomt1
RXN-13840	EC-1.14.13	unknown	unknown
RXN-13839	EC-1.14.11	flavonol 6-hydroxylase	F6H
RXN-13838	EC-2.1.1	methyl-quercetin/quercetagetin 3'/5'-<i>O</i>-methyltransferase	fomt1
RXN-9817	EC-2.1.1	methylquercetagetin 6-<i>O</i>-methyltransferase	unknown
RXN-9815	EC-2.1.1	methylquercetagetin-<i>O</i>-methyltransferase	unknown
2.1.1.83-RXN	EC-2.1.1.83	3,7dimethylquercetin/quercetagetin 4'-<i>O</i>-methyltransferase	unknown
2.1.1.82-RXN	EC-2.1.1.82	flavonol 7/4'-methyltransferase	MOMT2
2.1.1.82-RXN	EC-2.1.1.82	3-<i>O</i>-methylquercetin 7-<i>O</i>-methyltransferase	unknown
RXN-6763	EC-4.4.1.13	kynurenine aminotransferase I	CCBL1
RXN-6763	EC-4.4.1.13	kynurenine--oxoglutarate transaminase 3	CCBL2
RXN-6763	EC-4.4.1.13	cysteine-S-conjugate C-S lyase	unknown
RXN-6763	EC-4.4.1.13	cysteine-<i>S</i>-conjugate &beta;-lyase	lcd
RXN-6641	EC-3.4.19.9	&gamma;-glutamyl transpeptidase	AT4G29210
RXN-6641	EC-3.4.19.9	&gamma;-glutamyl hydrolase	GGH
RXN-6641	EC-3.4.19.9	&gamma;-glutamyl hydrolase	GGH
RXN-6641	EC-3.4.19.9	pteroyl-&gamma;-glutamyl hydrolase	Ggh
2.3.1.80-RXN	EC-2.3.1.80	cysteine-<i>S</i>-conjugate <i>N</i>-acetyltransferase	unknown
2.3.1.80-RXN	EC-2.3.1.80	cysteine-<i>S</i>-conjugate <i>N</i>-acetyltransferase	unknown
RXN-6642	EC-3.4.11.2	cysteinylglycinase / cytosolic leucyl aminopeptidase	LAP3
RXN-6642	EC-3.4.11.2	aminopeptidase M	Anpep
GSHTRAN-RXN	EC-2.5.1.18	Maleylacetoacetate isomerase	GSTZ1
GSHTRAN-RXN	EC-2.5.1.18	glutathione S-transferase	AT2G47730
GSHTRAN-RXN	EC-2.5.1.18	glutathione S-transferase	AT1G17170
GSHTRAN-RXN	EC-2.5.1.18	glutathione S-transferase	AT1G78380
GSHTRAN-RXN	EC-2.5.1.18	glutathione <i>S</i>-transferase A heterodimer	GSTA1
GSHTRAN-RXN	EC-2.5.1.18	glutathione <i>S</i>-transferase A heterodimer	GSTA2
GSHTRAN-RXN	EC-2.5.1.18	glutathione <i>S</i>-transferase A2	GSTA2
GSHTRAN-RXN	EC-2.5.1.18	glutathione <i>S</i>-transferase A1	GSTA1
GSHTRAN-RXN	EC-2.5.1.18	glutathione <i>S</i>-transferase	unknown
RXN-14377	EC-3.5.1.46	6-aminohexanoate oligomermer exohydrolase||6-aminohexanoate linear dimer hydrolase	nylB
RXN-14376	EC-3.5.1.117	6-aminohexanoate oligomer endohydrolase||6-aminohexanoate oligomer endohydrolase	nylC
3.5.2.12-RXN	EC-3.5.2.12	6-aminohexnoate cyclic dimer hydrolase	nylA
6-OXOHEXANOATE-OXIDATION-RXN	EC-1.2.1.63	6-oxohexanoate dehydrogenase	chnE
RXN-3962	EC-3.5.1.46	6-aminohexanoate oligomermer exohydrolase||6-aminohexanoate linear dimer hydrolase	nylB
R562-RXN	EC-2.6.1	unknown	unknown
R561-RXN	EC-3.5.2	unknown	unknown
1.20.99.1-RXN	EC-1.20.99.1	respiratory arsenate reductase	arrA
1.20.99.1-RXN	EC-1.20.99.1	respiratory arsenate reductase	arrB
1.20.99.1-RXN	EC-1.20.99.1	respiratory arsenate reductase	arrA
1.20.99.1-RXN	EC-1.20.99.1	respiratory arsenate reductase	arrB
1.20.99.1-RXN	EC-1.20.99.1	respiratory arsenate reductase	arrA
1.20.99.1-RXN	EC-1.20.99.1	respiratory arsenate reductase	arrB
R425-RXN	R425-RXN	unknown	unknown
RXN0-6945	RXN0-6945	3-mercaptopyruvate:cyanide sulfurtransferase||thiosulfate sulfurtransferase||hydrogen sulfide synthesis	sseA
CYSTEINE-AMINOTRANSFERASE-RXN	EC-2.6.1.3	aspartate aminotransferase, PLP-dependent	aspC
CYSTEINE-AMINOTRANSFERASE-RXN	EC-2.6.1.3	aspartate aminotransferase 1	GOT1
CYSTEINE-AMINOTRANSFERASE-RXN	EC-2.6.1.3	aspartate transaminase||cysteine aminotransferase||3-sulfinoalanine aminotransferase	Got1
RXN-14996	EC-3.1.4.57	cyclic phosphate dihydrolase	PhnPP
RXN-14995	EC-3.1.4.57	cyclic phosphate dihydrolase	PhnPP
RXN0-6734	EC-4.7.1.1	carbon-phosphorus lyase core complex, PhnJ subunit	phnJ
RXN0-6733	EC-3.6.1.63	RPnTP hydrolase	phnM
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnL
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnH
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnG
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnI
R424-RXN	EC-1.14.13	cytochrome P-450cam	camC
R423-RXN	EC-1.14.13	2,5-diketocamphane 1,2-monooxygenase complex	Fred
R423-RXN	EC-1.14.13	2,5-diketocamphane 1,2-monooxygenase complex	camE25-2
R423-RXN	EC-1.14.13	2,5-diketocamphane 1,2-monooxygenase complex	camE25-1
R422-RXN	EC-1.14.13	2,5-diketocamphane 1,2-monooxygenase complex	Fred
R422-RXN	EC-1.14.13	2,5-diketocamphane 1,2-monooxygenase complex	camE25-2
R422-RXN	EC-1.14.13	2,5-diketocamphane 1,2-monooxygenase complex	camE25-1
R421-RXN	EC-1.14.13	cytochrome P-450cam	camC
RXN0-6710	EC-3.1.4.55	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	phnP
RXN0-6734	EC-4.7.1.1	carbon-phosphorus lyase core complex, PhnJ subunit	phnJ
RXN0-6733	EC-3.6.1.63	RPnTP hydrolase	phnM
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnL
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnH
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnG
RXN0-6732	EC-2.7.8.37	methylphosphonate degradation complex	phnI
L-3-CYANOALANINE-SYNTHASE-RXN	EC-4.4.1.9	&beta;-cyanoalanine synthase	CAS2
L-3-CYANOALANINE-SYNTHASE-RXN	EC-4.4.1.9	&beta;-cyanoalanine synthase	CAS1
L-3-CYANOALANINE-SYNTHASE-RXN	EC-4.4.1.9	&beta;-cyano-L-alanine synthase	SPIol;Bsas3;1
L-3-CYANOALANINE-SYNTHASE-RXN	EC-4.4.1.9	&beta;-cyano-L-alanine synthase	AT3G61440
L-3-CYANOALANINE-SYNTHASE-RXN	EC-4.4.1.9	&beta;-cyano-L-alanine synthase	unknown
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3	alkane hydroxylase system	alkB
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3	alkane hydroxylase system	alkG
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3	alkane hydroxylase system	alkT
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3	alkane hydroxylase	rubB
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3	alkane hydroxylase	alkB
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1	rubredoxin-NAD(+) reductase	alkT
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1	rubredoxin NAD<SUP>+</SUP> reductase	nror
R223-RXN	EC-6.2.1.3	short chain fatty acid CoA ligase	FACL
R223-RXN	EC-6.2.1.3	medium-chain acyl-CoA synthetase	alkK
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 6	AT3G05970
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 7	AT5G27600
R223-RXN	EC-6.2.1.3	long-chain-fatty-acid--CoA ligase 1	ACSL1
R223-RXN	EC-6.2.1.3	very long-chain acyl-CoA synthetase	SLC27A2
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 8 ACSBG2	ACSBG2
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase ACSBG1	ACSBG1
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 4	ACSL4
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 5	ACSL5
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 6	ACSL6
R223-RXN	EC-6.2.1.3	long-chain acyl-CoA synthetase 3	ACSL3
R223-RXN	EC-6.2.1.3	medium-chain acyl-CoA synthetase	FAA2
R223-RXN	EC-6.2.1.3	short chain acyl-CoA synthetase	fadK
R223-RXN	EC-6.2.1.3	fatty acyl-CoA synthetase	fadD
R222-RXN	EC-1.2.1.3	aldehyde dehydrogenase	alkH
R222-RXN	EC-1.2.1.3	mitochondrial aldehyde dehydrogenase	ALDH2
R222-RXN	EC-1.2.1.3	aldehyde dehydrogenase, mitochondrial	ALD5
R222-RXN	EC-1.2.1.3	potassium-activated aldehyde dehydrogenase, mitochondrial	ALD4
R222-RXN	EC-1.2.1.3	aldehyde dehydrogenase	ALD2
R222-RXN	EC-1.2.1.3	aldehyde dehydrogenase	ALD3
R222-RXN	EC-1.2.1.3	fatty aldehyde dehydrogenase	ALDH3A2
R222-RXN	EC-1.2.1.3	4-trimethylaminobutyraldehyde dehydrogenase	ALDH9A1
R222-RXN	EC-1.2.1.3	acetaldehyde dehydrogenase	ald
R221-RXN	EC-1.1.99	octanol dehydrogenase	alkJ
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase	PDC3
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase	PDC1
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase	unknown
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase	unknown
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase	pdc
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase 3	PDC6
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase 2	PDC5
RXN-6161	EC-4.1.1.1	pyruvate decarboxylase 1	PDC1
RXN3O-470	RXN3O-470	pyruvate decarboxylase 1	PDC1
RXN3O-470	RXN3O-470	pyruvate decarboxylase 2	PDC5
RXN3O-470	RXN3O-470	pyruvate decarboxylase 3	PDC6
RXN0-2022	RXN0-2022	pyruvate oxidase	poxB
RXN0-2022	RXN0-2022	pyruvate decarboxylase 1	PDC1
RXN0-2022	RXN0-2022	pyruvate decarboxylase 2	PDC5
RXN0-2022	RXN0-2022	pyruvate decarboxylase 3	PDC6
RXN-15252	EC-4.99.1	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)||1,2-dinitroglycerol reductase (1-mononitroglycerol forming)||1,3-dinitroglycerol reductase||nitroglycerin reductase (1,2-dinitroglycerol forming)||nitroglycerin reductase (1,3-dinitroglycerol forming)	xenB
R204-RXN	EC-4.99.1	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)||1,2-dinitroglycerol reductase (1-mononitroglycerol forming)||1,3-dinitroglycerol reductase||nitroglycerin reductase (1,2-dinitroglycerol forming)||nitroglycerin reductase (1,3-dinitroglycerol forming)	xenB
R203-RXN	EC-4.99.1	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)||1,2-dinitroglycerol reductase (1-mononitroglycerol forming)||1,3-dinitroglycerol reductase||nitroglycerin reductase (1,2-dinitroglycerol forming)||nitroglycerin reductase (1,3-dinitroglycerol forming)	xenB
R203-RXN	EC-4.99.1	nitroglycerin reductase	nerA
R202-RXN	EC-4.99.1	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)||1,2-dinitroglycerol reductase (1-mononitroglycerol forming)||1,3-dinitroglycerol reductase||nitroglycerin reductase (1,2-dinitroglycerol forming)||nitroglycerin reductase (1,3-dinitroglycerol forming)	xenB
R201-RXN	EC-4.99.1	nitroglycerin reductase	nerA
R201-RXN	EC-4.99.1	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)||1,2-dinitroglycerol reductase (1-mononitroglycerol forming)||1,3-dinitroglycerol reductase||nitroglycerin reductase (1,2-dinitroglycerol forming)||nitroglycerin reductase (1,3-dinitroglycerol forming)	xenB
RXN-11036	EC-1.1.1.303	(R,R)-butanediol dehydrogenase||(R,S)-2,3-butanediol dehydrogenase||[(R)-acetoin forming]-diacetyl reductase	BDH1
RXN-11036	EC-1.1.1.303	diacetyl reductase||(S)-acetoin reductase [(S,S)-2,3-butanediol forming]	butA
RXN-6081	RXN-6081	unknown	unknown
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvN
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvG_1
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvG_2
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvM
ACETOLACTSYN-RXN	EC-2.2.1.6	acetolactate synthase||acetohydroxybutanoate synthase	ilvI
ACETOLACTSYN-RXN	EC-2.2.1.6	acetolactate synthase||acetohydroxybutanoate synthase	ilvH
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxyacid synthase	ilvH
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxyacid synthase	ilvB
ACETOLACTSYN-RXN	EC-2.2.1.6	catabolic acetolactate synthase	budB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxy-acid synthase	ilvB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxy-acid synthase	ilvN
ACETOLACTSYN-RXN	EC-2.2.1.6	&alpha;-acetolactate synthase	als
ACETOLACTATE-DECARBOXYLASE-RXN	EC-4.1.1.5	&alpha;-acetolactate decarboxylase	budA
ACETOLACTATE-DECARBOXYLASE-RXN	EC-4.1.1.5	&alpha;-acetolactate decarboxylase	aldB
ACETOLACTATE-DECARBOXYLASE-RXN	EC-4.1.1.5	&alpha;-acetolactate decarboxylase	aldB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvN
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvG_1
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvG_2
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxybutanoate synthase||acetolactate synthase	ilvM
ACETOLACTSYN-RXN	EC-2.2.1.6	acetolactate synthase||acetohydroxybutanoate synthase	ilvI
ACETOLACTSYN-RXN	EC-2.2.1.6	acetolactate synthase||acetohydroxybutanoate synthase	ilvH
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxyacid synthase	ilvH
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxyacid synthase	ilvB
ACETOLACTSYN-RXN	EC-2.2.1.6	catabolic acetolactate synthase	budB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxy-acid synthase	ilvB
ACETOLACTSYN-RXN	EC-2.2.1.6	acetohydroxy-acid synthase	ilvN
ACETOLACTSYN-RXN	EC-2.2.1.6	&alpha;-acetolactate synthase	als
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	mycothiol-dependent formaldehyde dehydrogenase	fadH
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase V	ADH5
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase / acetaldehyde dehydrogenase	ADH1
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	furfuryl alcohol dehydrogenase	furX
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol/aldehyde dehydrogenase	adhE
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase	adh
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase	ADH1
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase	ADH1
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase	unknown
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	NAD-dependent alcohol dehydrogenase	adhE
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase||UDP-glucose dehydrogenase	ADH2
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase	unknown
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase 2	ADH1B
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase	adhE
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1	alcohol dehydrogenase I	ADH1
