ORF_ID	ec	     product
101320_0		fatty oxidation complex subunit alpha 
70509_0	1.11.1.7	Catalase-peroxidase 2 
57187_0		family 2 glycosyl transferase 
57185_0		Heat shock protein SSQ1, mitochondrial 
57184_0		domain protein 
57183_0		Oligopeptide transport ATP-binding protein OppF 
57180_0		putative endoribonuclease L-PSP 
114127_0		sulfur reductase membrane anchor subunit, PsrC-like protein 
70242_0		
75487_0		deoxyguanosinetriphosphate triphosphohydrolase 
75484_0		sugar ABC transporter permease
75482_0		domain protein 
75480_0		MtN3 saliva related transmembrane protein 
28291_0	2.1.1.63	Methylated-DNA--protein-cysteine methyltransferase 
28290_0		
10702_1		methionine synthase, vitamin-B12 independent 
10703_0	2.6.1.16	Glutamine--fructose-6-phosphate aminotransferase 
10703_1	6.3.5.2	GMP synthase 
10704_0		Glycine betaine/proline betaine transport system ATP-binding protein ProV 
10705_0		putative membrane protein 
10705_2		alcohol dehydrogenase 
10706_0		type II DNA topoisomerase (gyrase), subunit B 
10707_0		copper binding protein, plastocyanin/azurin family 
10707_1		PEFG-CTERM domain-containing protein
10708_1		Quinolinate synthase A 
12394_1		tRNA 2-thiocytidine biosynthesis protein TtcA 
12397_0		Cobalamin B12-binding domain protein 
12397_1	1.1.1.86	Ketol-acid reductoisomerase (NADP(+)) 
12396_0		threonine synthase 
12396_1		CBS domain-containing protein 
12391_0		Rieske 2Fe-2S domain protein 
12390_0		protein unknown function DUF1295 
12393_0		nitroreductase family protein 
12392_0		AsnC family transcriptional regulator 
12392_1		aspartate-semialdehyde dehydrogenase 
104319_0		substrate-binding region ABC-type glycine betaine transport system 
74358_0	1.9.3.1	Alternative cytochrome c oxidase subunit 1 
74356_0	6.3.5.5	CAD protein 
74351_0		FAD-dependent oxidoreductase 
74353_0		UvrABC system protein A (Excinuclease ABC subunit A) 
15282_1		FAD-dependent pyridine nucleotide-disulfideoxido reductase 
15283_0		Phosphate-Selective Porin O P 
15280_0		lipid A biosynthesis acyltransferase
111579_0		Histidine N-alpha-methyltransferase 
15286_0		pyruvate/phosphoenolpyruvate kinase domain-containing protein 
15286_1		hydroxyisourate hydrolase 
15287_0	1.97.1.2	Pyrogallol hydroxytransferase large subunit 
15285_0		carbamate kinase (carbamate kinase-like) kinase-like carbamoylphosphate synthetase) 
111572_0		MinD family ATPase 
111573_0		oxidoreductase domain-containing protein 
111570_0		N-acyl homoserine lactonase family protein
15289_0		LSU ribosomal protein L1p (L10Ae) 
111576_0		twin-arginine translocation pathway signal protein 
111577_0	3.1.1.1	Esterase III 
87959_0		ABC transporter, RNase L inhibitor 
87958_0		oligopeptide transport system permease AppC 
33673_0		von Willebrand factor, type A 
87950_0		Beta-lactamase 
87953_0		Acyl-CoA dehydrogenase 
87955_0		Arylsulfotransferase (ASST) 
67016_0		molybdopterin binding aldehyde oxidase xanthine dehydrogenase 
29160_0	2.2.1.1	Transketolase, chromosomal 
29161_0	2.7.7.23	Bifunctional protein GlmU 
105956_0		electron transfer flavoprotein subunit alpha/beta 
21379_0		putative beta-ketoacyl CoA thiolase FadA3 
21378_0		ABC-type transporter ATP-binding protein 
72908_0		Elongation factor 4 
29167_0	6.3.5.5	Protein PYR1-3 
21375_0		putative zinc-carboxypeptidase precursor (CbpS-like module) 
21374_0		aspic unbv domain protein 
72904_0	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurL 
93730_0	2.6.1.1	Aspartate aminotransferase B 
21370_0		bile acid 
21373_1		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic 
93733_0		DEAD/DEAH box helicase 
85929_0		ATP synthase subunit beta 
82206_0		DNA topoisomerase IB 
85927_0		50S ribosomal protein L4 
85924_0		putative transcriptional regulator containing HTH domain 
85925_0		Hydrolase 
85922_0		mucin-desulfating sulfatase 
85923_0		cysteine desulfurase activator complex membrane protein SufB 
85920_1		N-methylhydantoinase A (HuyA-1) 
90339_0		2-isopropylmalate synthase 
90338_0		6-pyruvoyl tetrahydrobiopterin synthase 
115381_0		N-methylhydantoinase B 
115380_0		phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I 
115385_0		Membrane protein involved export O-antigen teichoic acid 
67018_0		von Willebrand factor type A (vWA) domain-containing protein 
115387_0	1.6.5.3	NADH dehydrogenase I chain L 
115386_0		V-type ATP synthase subunit D 
115389_0		Thiamine biosynthesis protein-like protein 
115388_0		Acetylglutamate/acetylaminoadipate kinase 
99551_0		quinol:cytochrome c oxidoreductase quinone-binding subunit 2 
99557_0		cell cycle protein 
99554_0		gamma-glutamyltransferase GgtB 
79999_0		recombinase RmuC
9668_0		putative aldehyde dehydrogenase 
30703_0		putative glycosyl transferase, group 1 
9662_0		50S ribosomal protein L35 
9662_1		ribosomal protein L20, bacterial-type 
9662_2		phenylalanyl-tRNA synthetase subunit alpha 
9663_0		Inner membrane amino-acid ABC transporter permease yhdY 
9660_1		L-proline dehydrogenase 
9661_0	4.2.3.1	Threonine synthase 
9661_1	2.5.1.47	Putative cysteine synthase 
9667_1	1.6.5.3	NADH-ubiquinone oxidoreductase chain 4L 
9667_2		NADH ubiquinone oxidoreductase chain J protein 
9665_0		DNA-directed RNA polymerase subunit beta 
15866_0		DEAD/DEAH box helicase domain-containing protein 
15867_0		Phenylalanyl-tRNA synthetase, alpha subunit 
15867_1		50S ribosomal protein L35 
15867_2		translation initiation factor IF-3 
15864_0		
15865_0		homolog to aminomethyltransferase (homolog glycine cleavage system protein T) 
15865_1		Methylenetetrahydrofolate reductase 
15862_0		6-pyruvoyltetrahydropterin synthase
15862_1		MULTISPECIES: guanosine polyphosphate pyrophosphohydrolase
15863_0		RND superfamily 
15860_0		Aconitate hydratase, mitochondrial OS Gracilaria gracilis PE 3 SV 1 
15861_0		lipid A ABC exporter, fused ATPase inner membrane subunits MsbA 
1477_0		binding-protein-dependent transport systems inner membrane component 
1477_1		ABC transporter substrate binding protein (oligopeptide) 
1477_2		glutaryl 7-ACA acylase 
112001_0	2.7.2.2	Carbamate kinase 
1474_0		adenosine deaminase 
1474_1		glutamate synthase large subunit-like protein YerD 
1474_5		ferric uptake regulator, Fur family 
1473_2		stress response membrane GTPase 
1473_4		oxidoreductase, zinc-binding dehydrogenase family 
112006_0		Selenocysteine-specific elongation factor 
15868_0		
15869_0		Pkd domain containing protein 
13420_0		SAICAR synthetase 
13422_0		
13422_1		putative dioxygenase extradiol family 
13423_0		ABC transporter 
13424_0		DNA-directed RNA polymerase subunit beta 
13425_0		Mg2+ Co2+ transporter 
13426_0		ATPase AAA 
47942_0		tRNA uridine 5-carboxymethylaminomethyl modification enzyme gid 
47943_0		
47940_0		carbon monoxide dehydrogenase subunit G 
86825_0		AICAR transformylase/IMP cyclohydrolase PurH 
47946_0	2.7.7.4	Sulfate adenylyltransferase subunit 2 
47945_1	4.3.1.19	Threo-3-hydroxyaspartate ammonia-lyase 
77624_0		SDR family oxidoreductase
49729_0		3-beta hydroxysteroid dehydrogenase/isomerase family protein 
77620_0	2.7.2.4	Aspartokinase 2 
77622_0		transposase 
77623_0		translation initiation factor IF-2 subunit gamma 
49720_0		Cinnamic acid:CoA ligase OS Petunia hybrida PE 2 SV 1 
49723_0		preprotein translocase subunit SecD 
49724_1		binding-protein-dependent transport systems inner membrane component 
49725_0		ribonuclease H 
49727_0		Membrane 
44262_0		TonB-dependent receptor 
44260_0		acetyltransferase 
44267_0		putative integral membrane protein 
44264_0		Iron-regulated ABC transporter membrane component SufB 
59119_0		(lipo)polysaccharide 
56637_0		coenzyme A biosynthesis bifunctional protein coaBC 
44268_0		Peptidase M1 membrane alanine aminopeptidase 
56635_0		Isoaspartyl peptidase/L-asparaginase (Fragment) OS Lupinus arboreus PE 2 SV 1 
56632_0		Catalyzes conversion dethiobiotin (DTB) to biotin insertion sulfur atom into via radical- based mechanism (By similarity) 
59113_0		DNA-dependent RNA polymerase catalyzes transcription DNA into using four ribonucleoside triphosphates as substrates (By similarity) 
56630_0		enoyl CoA hydratase 
59111_0		putative xylanase/chitin deacetylase 
98604_0		sulfatase 1 precursor 
98607_0	2.7.7.7	DNA polymerase I (Fragment) 
98606_0		(5-formylfuran-3-yl)methyl phosphate transaminase 
58579_0		peptidase S9 prolyl oligopeptidase active site domain-containing protein 
58578_0		Catalyzes GTP-dependent ribosomal translocation step during translation elongation. During this step, ribosome changes from pre-translocational (PRE) to post- translocational (POST) state as newly formed A-site-bound peptidyl-tRNA P-site-bound deacylated tRNA move P E sites, respectively. coordinated movement two molecules, mRNA conformational (By similarity) 
87789_0	1.8.1.4	Ferric leghemoglobin reductase-2 
87784_0		Participates actively response to hyperosmotic heat shock preventing aggregation stress-denatured proteins, association DnaK GrpE. It nucleotide exchange factor may function as thermosensor. Unfolded proteins bind initially DnaJ 
87785_0	2.3.1.31	Homoserine O-acetyltransferase 
87786_0		DNA repair protein RadA 
87787_0		cytochrome c oxidase subunit IV 
87780_0		metal-dependent phosphoesterase, PHP family 
87781_0		glutamyl-tRNA(Gln) amidotransferase subunit E 
63618_0		
63613_0		multidrug resistance ABC transporter ATP-binding permease 
63614_0		putative dinucleotide-utilizing enzyme 
63615_0		urea active transporter 
63616_0		3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II RibBA 
63617_0		binding-protein-dependent transport systems inner membrane component 
80837_0	2.3.1.8	Phosphate acetyltransferase 
54679_0		putative membrane protein 
80834_0	1.1.5.6	Putative alpha subunit formate dehydrogenease 
80832_0		HAD-superfamily subfamily IB hydrolase 
9088_0		acetyltransferase 
9088_1		2-methylcitrate synthase 
9086_0	2.1.3.2	Aspartate carbamoyltransferase 
54671_0		cell cycle protein MesJ 
54674_0		cobyrinic acid a,c-diamide synthase 
9083_0	1.1.1.205	Inosine-5`-monophosphate dehydrogenase, putative 
9083_2	4.2.1.51	P-protein 
54676_0	6.3.5.5	Carbamoyl-phosphate synthase large chain 
54677_0		N-methyl glutamate synthase large subunit C OS Methyloversatilis universalis PE 3 SV 1 
88259_0		TonB-dependent outer membrane receptor 
68936_0		sugar kinase, ribokinase family 
68931_0	1.6.5.3	NADH dehydrogenase iron-sulfur protein 7, mitochondrial OS Brassica oleracea PE 2 SV 1 
31649_0		glutamyl-tRNA reductase 
51114_0		TonB-dependent receptor 
51110_0		MaoC domain-containing protein dehydratase 
51111_0		cell division protein FtsA 
31641_0		sulfatase 
31642_0		ATP synthase subunit beta 
31642_1		ATP synthase gamma chain 
31644_0		iron family ABC transporter ATP-binding protein 
31645_0		regulator sigma E protease RseP 
31646_0		replicative DNA helicase 
31646_1		alanine racemase 
31647_0		putative carbon monoxide dehydrogenase large subunit 
31647_1		Short-chain specific acyl-CoA dehydrogenase, mitochondrial 
90213_0		acidic ribosomal protein P0 
48418_0	2.5.1.31	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) 
91609_0		large subunit N,N-dimethylformamidase
113066_0		esterase 
113067_0		short-chain dehydrogenase/reductase SDR 
71668_0	2.1.3.2	Aspartate carbamoyltransferase 
71669_0		Phosphoribosylaminoimidazole-succinocarboxamide synthase 
90216_0		xylose isomerase domain-containing protein 
113068_0		2-methylisocitrate lyase 
48412_0		Dehydrogenase 
48415_0	5.4.99.2	Methylmalonyl-CoA mutase, subunit alpha, N-terminus (McmA1) 
48414_0		Alpha-methylacyl-CoA racemase 
48416_0		PpiC-type peptidyl-prolyl cis-trans isomerase 
7480_0		Kynurenine 3-monooxygenase 
7480_1	3.7.1.3	Kynureninase 
7481_0		
7481_1		
7482_0		acyl-CoA dehydrogenase domain-containing protein 
54098_0		NAD(P)-dependent dehydrogenase 
7485_1		)-reductase 
7486_0		DNA gyrase subunit A 
2358_1		carbamoyl phosphate synthase small subunit 
2358_2		AAA-type ATPase domain-containing putative archaeal cell division protein Vps4 
2357_0		DNA topoisomerase VI subunit B 
2357_1		RNA-binding protein containing KH domain 
2357_2		translation initiation factor 1a 
2357_3		Protein unknown function (DUF424) 
7489_1		Permease drug/metabolite transporter (DMT) superfamily 
7489_2	3.5.3.3	Creatinase OS Bacillus sp. (strain B-0618) PE 1 SV 3 
54096_0		oligoendopeptidase, M3 family 
2353_0		farnesyl-diphosphate synthase 
2353_1		exodeoxyribonuclease VII small subunit 
2353_2		short chain dehydrogenase/reductase oxidoreductase 
2353_3		poly(A) polymerase 
2353_4		GTP cyclohydrolase I 
2352_0		stage V sporulation protein E 
2352_2	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase 
54092_0		translation elongation factor Tu 
2350_0		UvrABC system protein A 
5882_1		alcohol dehydrogenase zinc-binding domain protein 
5883_0		acyl-CoA dehydrogenase 
5883_1		putative amidase 
5881_0		symporter 
5886_2	1.6.5.3	NADH-ubiquinone oxidoreductase chain 1 (Fragment) 
5884_1		(LipO)protein 
5885_0		nitrilase/cyanide hydratase apolipoprotein N-acyltransferase 
5885_2		Maf-like protein 
5888_0		Trypsin-like serine protease 
5889_0		translation elongation factor 1A (EF-1A/EF-Tu) 
390_0	5.4.3.8	Glutamate-1-semialdehyde 2,1-aminomutase 
390_2		protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific 
390_3		cytochrome oxidase assembly protein
390_5		Transcription termination factor Rho 
390_6	1.8.1.9	Bifunctional thioredoxin reductase/thioredoxin 
390_7		ATP-dependent RNA helicase RhlB 
391_0	2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase component pyruvate dehydrogenase complex OS Azotobacter vinelandii PE 1 SV 3 
391_1	1.8.1.4	Dihydrolipoyl dehydrogenase 
391_2		
391_4		lipoprotein unknown function DUF885 
392_1		chromosome segregation condensation protein ScpA 
392_2		NAD-dependent alcohol dehydrogenase 
392_4		translation elongation factor P (EF-P)/translation initiation 5A 
392_5		ATPase PP-loop superfamily 
392_6		signal recognition particle protein Srp54 
392_7		pseudouridylate synthase-like protein 
392_8		
393_0		peptidase dimerization domain protein 
393_1		protease-associated PA domain protein 
393_3		rhodanese domain-containing protein 
393_4		glutathione Stransferase 
393_5		carbon-nitrogen hydrolase 
393_6		acyl-CoA dehydrogenase (ACAD) / oxidase-like protein 
394_2		30S ribosomal protein S1 
394_7		nitrilotriacetate monooxygenase component B 
395_1		Xaa-Pro aminopeptidase family enzyme 
395_2		class V aminotransferase family prorein 
395_3		threonine synthase 
397_2		putative branched-chain amino acid aminotransferase 
397_3		amino acid aminotransferase 
397_4		MiaB-like tRNA modifying enzyme 
397_5		Isoaspartyl peptidase 
397_6	2.1.2.10	Glycine dehydrogenase (decarboxylating) B, mitochondrial 
398_0		acriflavin resistance protein
398_2		superfamily II DNA/RNA helicase 
398_3		Membrane 
23049_0	2.2.1.6	Acetolactate synthase isozyme 3 large subunit 
23048_0		SprA 
30117_1		N-carbamoyl-L-amino acid hydrolase 3 
30116_1		
30114_0		quaternary ammonium efflux pump, 4 TMS small multidrug resistance (SMR) family, GacE 
30114_1		Formate dehydrogenase Alpha subunit 
30113_0		DNA mismatch repair protein MutS 
30113_1		selenocysteine-specific translation elongation factor
30111_0		Hydantoin utilization protein B 
30110_0		putative D-alanyl-D-alanine carboxypeptidase dacC
90555_0		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase 
45394_0		polyketide cyclase/dehydrase 
41340_0		alanyl-tRNA synthetase 
85143_0		membrane-bound dehydrogenase domain-containing protein 
41346_0		AcrB/AcrD/AcrF family multidrug resistance protein 
41347_0		exodeoxyribonuclease VII large subunit, partial
41344_0		serine hydroxymethyltransferase 
41345_0		Trk system potassium uptake protein TrkA 
85148_0		cobyrinic acid ac-diamide synthase 
41348_0		Protein unknown function (DUF1595) 
111960_0		Probable L-asparaginase 2 
71849_0		Aminopeptidase N 
111964_0		
111967_0		N-acetylmuramoyl-L-alanine amidase domain-containing protein 
71842_0		glycosyl transferase, family 39 
71840_0		peptidoglycan-binding protein
71841_0		NADH-dependent FMN reductase 
71846_0		carboxymuconolactone decarboxylase 
71844_0		transglutaminase domain-containing protein 
71845_0	2.6.1.2	Alanine aminotransferase 2 OS Panicum miliaceum PE 1 SV 
20984_0		conserved protein implicated secretion 
20986_1		cobyrinic acid a,c-diamide synthase 
20980_0		Alanine aminotransferase 
20983_0		electron transfer flavo-ubiquinone oxidoreductase family protein 
20983_1		Protein unknown function DUF2237 
79666_0		DUF2299 domain-containing protein
79664_0		NADH-ubiquinone oxidoreductase subunit L 
79665_0		(ABC) transporter 
79661_0		signal peptidase I 
39732_0		Acetylornithine aminotransferase 
39733_0		cytochrome c biogenesis protein transmembrane region 
39735_0		Mur ligase middle domain-containing protein 
39736_1		Dihydroorotase 
45979_0		adenine deaminase 
45978_0		AmpG protein 
109209_0		Cysteine desulfurase CsdA 
45970_0		putative dinucleotide-utilizing enzyme 
45972_1		Acryloyl-CoA reductase electron transfer subunit beta 
45975_0		acetoacetyl-CoA synthetase 
45974_0		2'-5' RNA ligase 
45977_0		sulfurtransferase 
58891_0		Xylose isomerase domain protein TIM barrel 
58892_0	1.6.5.3	NADH-ubiquinone oxidoreductase chain 4L 
114240_0		Retrotransposon protein 
114247_0		GTP-binding signal recognition particle SRP54 G- domain protein 
58895_0		Leucyl-trna synthetase 
114245_0		putative isocitrate lyase-family protein, Putative carboxyvinyl-carboxyphosphonate phosphorylmutase 
58898_0		Cysteine desulfurase, mitochondrial 
58899_0		Aconitate hydratase, mitochondrial OS Gracilaria gracilis PE 3 SV 1 
114249_0		peptidase M28 
114248_0		arabinose efflux permease family protein 
3558_0		Multicopper oxidase 
3558_1		aspartate ammonia-lyase 
3558_2	4.2.1.2	Fumarate hydratase class II 
3484_0		amino acid 
3484_1	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase 
3484_2		replication factor C small subunit 
36987_0		superfamily II DNA/RNA helicase, SNF2 family 
3486_0	6.3.4.2	CTP synthase 1 
3486_1		NAD-dependent epimerase/dehydratase 
3487_0		type IV pilus biogenesis protein PilC 
3487_1		type IV-A pilus assembly ATPase PilB 
3480_0	2.7.2.2	Carbamate kinase 
3480_2		threonine--tRNA ligase 1 
36983_0		Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved maturation, removing 3'-trailer from precursor (By similarity) 
3482_0		polar amino acid ABC transporter inner membrane subunit 
3482_1		family 3 extracellular solute-binding protein 
3482_2	2.5.1.47	Cysteine synthase B 
3483_0		Aconitate hydratase 1 
3488_0	4.3.1.19	L-threonine dehydratase biosynthetic IlvA 
3488_4		aminopeptidase P 
36988_0		class II aldolase/adducin family protein 
36989_0		dioxygenase 
93787_0		Guanidinobutyrase 
93786_0		peptidase S8/S53 subtilisin kexin sedolisin 
47533_0	2.2.1.6	Putative acetolactate synthase large subunit IlvX 
11659_1		synthase (Component I) 
39551_0	4.1.1.49	Phosphoenolpyruvate carboxykinase 
47539_0		secreted protein, containing von Willebrand factor (VWF) type A domain 
47538_0		heat shock protein 60 family chaperone GroEL 
68347_0		2-methylcitrate dehydratase 
33009_0		putative ferredoxin 
68345_0		putative sodium symporter protein 
68342_0		type I glutamine synthetase 
68341_1		Probable proline dehydrogenase 2 
68348_0		Probable delta-1-pyrroline-5-carboxylate dehydrogenase 
70719_0		heat shock protein 60 family chaperone GroEL 
70711_0		type IV fimbrial biogenesis protein PilY1 
70710_0		exonuclease beta-lactamase fold involved RNA processing 
70713_0		imidazole glycerol phosphate synthase, glutamine amidotransferase subunit 
70715_0		AAA-type ATPase domain-containing putative archaeal cell division protein Vps4 
70714_0	3.5.4.25	GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone-4-phosphate synthase 
70717_0	2.5.1.6	S-adenosylmethionine synthase 
70716_0	4.2.1.46	dTDP-glucose 4,6-dehydratase OS Aggregatibacter actinomycetemcomitans PE 3 SV 1 
36515_0		P-aminobenzoate N-oxygenase AurF 
36514_0		ABC-type dipeptide transport system, periplasmic component 
36517_0		50S ribosomal protein L7/L12 
36516_0		Maltose/maltodextrin import ATP-binding protein MalK 
36511_1	1.3.5.1	Succinate dehydrogenase iron-sulfur subunit, mitochondrial 
36510_0		nitrogen regulation protein, sigma 54-dependent response regulator NtrC (NR(I)) 
36513_0		NADH-quinone oxidoreductase subunit N 
36512_0		
72719_0		preprotein translocase subunit SecF 
72718_0		short-chain dehydrogenase/reductase SDR 
36519_1		maltose/maltodextrin import ATP-binding protein MalK 
36518_1		Alpha-ketoglutarate-dependent taurine dioxygenase 
62060_0	4.2.3.4	3-dehydroquinate synthase 
62061_0	2.7.7.7	DNA polymerase III subunit alpha 
62063_0		membrane-bound dehydrogenase domain-containing protein 
62068_0		threonyl-tRNA synthetase 
68693_0		
68697_0		cytochrome P450 family protein 
68696_1		DUTPase 
79813_0		major facilitator superfamily transporter 
79814_0		Preprotein translocase subunit SecF 
9411_1		Uncharacterized protein conserved bacteria (DUF2062) 
9411_2		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) 
9410_0		Abortive infection protein 
9410_1		Guanylyltransferase that catalyzes activation 2- phospho-L-lactate (LP) as (2S)-lactyl-2-diphospho-5'-guanosine (LPPG), via condensation LP GTP. Is involved biosynthesis coenzyme F420, hydride carrier cofactor (By similarity) 
7384_1		SbmABacA family protein 
9415_1		DNA mismatch repair protein MutL 
9414_0		electron-transfer flavoprotein /FAD-dependent / fixCX-like protein 
9419_0		rhodanese domain-containing protein 
9419_1		23S rRNA (Uracil-5-) -methyltransferase RumA / LSU m(5)U1939 
9418_0		diaminopropionate ammonia-lyase 
9418_1		M24 family metallopeptidase 
17132_0		transcription factor TFIIB cyclin-related protein 
17133_0		dihydrolipoamide acyltransferase component branched-chain alpha-keto acid dehydrogenase complex 
1220_1		RarD protein, DMT superfamily transporter 
1220_2		ABC transporter substrate binding inner membrane protein 
1221_0		digeranylgeranylglycerophospholipid reductase 
1221_2		30S ribosomal protein S3ae 
1221_3		seryl-tRNA synthetase 
1221_4		
1221_5		30S ribosomal protein S15p 
1226_0		4-hydroxythreonine-4-phosphate dehydrogenase 
1226_1		Lipoyl synthase 
1226_2		D-3-phosphoglycerate dehydrogenase 
1226_3		Phosphoserine aminotransferase 
1226_4		conserved protein UCP033563 
1227_0		peptidase S8
1227_1	4.1.1.49	Phosphoenolpyruvate carboxykinase 1 
1227_2		ATP-dependent phosphoenolpyruvate carboxykinase 
1227_3		LSU ribosomal protein L32e 
